name,description,price,image_url,is_hot,views,category_id
Chickpea Salad,A ready-to-eat salad made with chickpeas and veggies.,5.49,https://jiathis.com/plurimum/et/cum/multi.yml?ulla,1,8812,Food - Prepared Foods
Smart Thermostat,Wi-Fi enabled thermostat for energy-saving temperature control.,149.99,https://cafepress.com/ipso/propter.xml?probarem&quid&igitur&est&inquit,0,3084,Smart Home
Organic Green Apples,"Fresh and tart organic green apples, great for snacking or baking.",1.49,https://google.com.br/nam/et/praeterita/prorsus.php?existimare,0,8428,Food - Produce
Potting Soil,Premium potting soil for indoor plants.,15.99,https://youku.com/nihil/tranquilli/potest/quodsi/quid.ods?depravata&desiderat,1,2999,Garden
Adjustable Height Standing Desk Converter,Convert your desk to a standing desk easily.,89.99,https://odnoklassniki.ru/ad/eam/delectari.pfx?sunt&qua,0,9074,Office
Fettuccine Alfredo Dinner Kit,Easy meal kit for creamy fettuccine Alfredo.,5.49,https://ning.com/quae/enim.mshxml?consistat&tamquam,1,328,Food - Prepared Meals
Tennis Racket,Lightweight tennis racket for beginners and advanced players.,89.99,https://php.net/te/ipso/id/fatemur.psm1?potest&perspici,1,2092,Fitness
Smart Scale,Wi-Fi smart scale for tracking weight and BMI.,59.99,https://harvard.edu/minus/ita/effici/complexiones/et/sitne.p12?cum,0,428,Health
Green Smoothie Mix,A convenient powder mix combining greens and fruits for smoothies.,5.99,https://theatlantic.com/ut/sapiens/solum/amputata/circumcisaque/aut.html,1,6611,Food - Beverages
Baked Falafel Balls,"Frozen falafel balls made from chickpeas and herbs, perfect for quick meals or salads.",5.99,http://thetimes.co.uk/honestum/non/tam/id/omnia.img?molestiae&consecutionem&affert&voluptatis,0,2340,Food - Frozen Vegetables
Raspberry Limeade,Sweet and tangy raspberry lime beverage,1.99,http://gnu.org/oportere/nimium/nos/causae/mihi.htm?ei,0,4472,Food - Beverages
Rainbow Veggie Chips,"Colorful veggie chips made from beets, carrots, and sweet potatoes.",3.29,https://state.tx.us/pacto/potest/ut/non/inquit.md?duxit&nisi,1,378,Food - Snacks
Fleece Throw Blanket,"Super soft fleece blanket, perfect for coziness.",29.99,https://cbsnews.com/quod/summum/bonum/et.cfg?et&legimus&libenter,0,2823,Home
Roasted Garlic Butter,A flavorful spread made with roasted garlic and creamy butter.,3.29,https://so-net.ne.jp/eum/in.rtf?numquid&tibi,0,2470,Food - Condiments
Cinnamon Sugar Tortilla Chips,"Crispy chips with a sweet twist, perfect for dipping.",3.29,https://blogger.com/a/libidinum/impetu/eum.mp4,0,9280,Food - Snacks
Almond Butter Crunch Bar,Nutritious snack bar made with almond butter and protein.,1.99,http://upenn.edu/a/dolore/corporis/praesenti/fuisse.sql?esse,0,3880,Food - Snacks
Bluetooth Tracker,Smart tracker to locate keys or other items via app.,19.99,https://goodreads.com/sit/in.tar,0,9800,Accessories
Inflatable Pool Float,Fun inflatable float for lounging in the pool or beach.,29.99,https://nps.gov/ne/deterruisset/alios/a/studiis/esse.iso,1,3799,Outdoor
Pet Bed with Removable Cover,Comfy pet bed with washable cover for easy cleaning.,49.99,https://omniture.com/dicantur/cur/autem.desktop?patriam&plerique&autem&se&ipsos,0,2625,Pets
Chunky Knit Sweater,Cozy oversized sweater perfect for chilly days with a textured knit design.,59.99,https://yelp.com/graeci/leguntur/molestum.scf?ab,1,9523,Clothing - Tops
Magnetic Whiteboard,Reusable whiteboard for notes and reminders with magnetic backing.,34.99,https://tinyurl.com/et/corporis/finxerat.cmd?locum,0,5367,Office
Gardening Gloves with Claws,Durable gloves with built-in claws for digging and planting.,24.99,https://sourceforge.net/defensa/est/epicuri/sententia/admonitionem.pssc?atque&ad,1,1560,Garden
BBQ Sauce,"A smoky barbecue sauce, ideal for grilling and dipping.",3.49,https://mac.com/honesta/quae/sint/ea/facere/et.cmd,1,2474,Food - Condiments
Coloring Books for Adults,Intricate designs for adults to relax and unwind.,14.99,https://sogou.com/esse/prosperum/nisi/hunc.bin?et&cognitio&rerum&quod&minime,1,4269,Books
Portable Massage Gun,Personal massager for muscle recovery.,79.99,https://bravesites.com/nec/voluptas/in/bonis/magnosque.pub?existimo&te&sicut,1,2218,Health
Handmade Leather Wallet,High-quality leather wallet with multiple compartments.,49.99,https://bloomberg.com/laudatur/sic/sapientia/quae/ars/rerum.ods,0,2506,Accessories
Mediterranean Couscous Salad,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat.",5.49,https://pagesperso-orange.fr/est/igitur/voluptas/bonum/hoc/enim.pub,0,1208,Food - Salads
Summer Tank Dress,"A lightweight tank dress, ideal for warm weather outings.",39.99,https://fotki.com/delectant/firmam.tsv?assidua&recordatione,0,9511,Clothing - Dresses
Handmade Soap Making Kit,Complete kit for crafting your own scented soaps.,34.99,https://dyndns.org/erudito/in/geometriaque/perfecto/ne.bz2?studuisse&aut&imperiis,1,61,Crafts
Natural Fruit Snacks,"Healthy fruit snacks, made with real fruit.",3.99,https://admin.ch/infantes/pueri/melius.png?sol&democrito&magnus&videtur,1,4197,Food - Snacks
Portable Solar Camp Shower,Portable solar shower for camping and outdoor use.,29.99,https://so-net.ne.jp/eorum/utrumvis/si/aeque/philosophiae.db,1,5883,Outdoor
Sweet Potato Chips,"Deliciously crunchy sweet potato chips, seasoned to perfection.",2.99,https://hc360.com/etiam/morati/melius/erimus/benivole.css?commodi&consequatur&quis&autem,1,5781,Food - Snacks
Spinach and Ricotta Ravioli,Delicious ravioli filled with creamy ricotta and fresh spinach.,6.49,https://e-recht24.de/attico/nostro/frequenter/audivi/aut.mdf?quod&mors,1,9457,Food - Pasta
Teriyaki Beef Jerky,Savory and chewy beef jerky with teriyaki flavor.,5.49,https://seattletimes.com/laudandis/id/totum/evertitur/levamur.msh1,1,1848,Food - Snacks
Ultraviolet Phone Sanitizer,UV sanitizer that kills germs on your smartphone.,39.99,https://cdbaby.com/coercendi/magis/quam/dedocendi/falsarum.jpg?fugit&sed&quia&consequuntur&magni,1,3557,Health
Fitbit Activity Tracker,Advanced wristband that tracks daily activities and sleep.,99.99,https://globo.com/diuturnum/timeret/amplificarique.xml,1,6000,Fitness
Portable Solar Phone Charger,Eco-friendly charger that uses solar energy for powering devices.,29.99,http://csmonitor.com/itaque/non/dubium.sh?non&est&igitur,0,9412,Electronics
Chili Powder,Spicy chili powder to add heat to dishes.,2.09,https://scientificamerican.com/domesticarum/rerum/fastidium/non/est/nec.iso?pleniorem&efficit,1,3150,Food - Spices
Pear and Gorgonzola Salad,"Fresh salad with pears, gorgonzola cheese, and nuts, perfect for lunch.",5.49,http://newsvine.com/dicant/e.json?cum&dixisset,1,6305,Food - Salads
Bicycle Repair Kit,Essential tools for on-the-go bike maintenance.,14.99,https://mlb.com/amarissimam/necesse/si.desktop?sine,1,4852,Outdoor
Dual Function Electric Skillet,"Skillet that can fry, grill, and sauté with ease.",59.99,https://kickstarter.com/culpa/qui/officia/non.msh2xml?utinam&ne&in&nemore&,0,4588,Kitchen
Apple Juice,"Refreshing apple juice, 100% juice with no added sugar.",3.29,https://cdc.gov/quidem/expedire/possunt/corporis.sql?veriusque,1,1658,Food - Beverages
Almond Flour Biscuits,Gluten-free biscuits made with almond flour.,6.49,https://oracle.com/videri/fuisse/in/imperio/ipsos.msh2?percurri,1,7248,Food - Bakery
Dark Chocolate Covered Almonds,Roasted almonds dipped in rich dark chocolate.,7.19,http://amazon.co.uk/velim/in.gpg?incurrunt&numquam&vim,0,4563,Food - Snacks
Veggie Lovers Pizza,Frozen pizza loaded with fresh vegetables and mozzarella cheese.,8.99,https://ox.ac.uk/autem/summa/voluptas/est/omne.doc?fruenda,0,9879,Food - Frozen Foods
Casual Sneakers,Versatile canvas sneakers suitable for everyday wear with a comfortable fit.,39.99,https://taobao.com/si/nos/non/voluptatibus.conf?animal&simul,0,9088,Clothing - Footwear
Smartphone Gimbal,Stabilizing gimbal for smooth video recording.,89.99,https://nhs.uk/sin/laboramus/quis/est/qui/ordinem.psm1?esse&quiddam&inter,1,2147,Electronics
Bamboo Utensil Set,Sustainable bamboo utensils for cooking and serving.,14.99,https://dion.ne.jp/esse/quarum.desktop,1,283,Kitchen
Spicy Thai Chili Sauce,A sweet and spicy sauce for dipping or cooking.,3.29,https://wp.com/erudito/defensa/est/epicuri/sententia/pleniorem.mov,1,4819,Food - Sauces
Sweet Corn Fritters,Golden-brown fritters made with sweet corn.,4.49,https://ask.com/voluptatum/adipiscendarum/causa/aut/magnum.png?facta&quem&ad&modum,0,5700,Food - Frozen
High-Low Hem Tee,"Trendy high-low tee with a relaxed fit, ideal for weekends.",22.99,https://mtv.com/etiam/concludaturque.tar?quam&omnia&iudicia&rerum&dirigentur,1,796,Clothing - Tops
Organic Coconut Sugar,"A natural sweetener made from coconut sap, a healthier alternative to sugar.",4.19,http://blogs.com/enim/hanc/solam/sequimur/non.html?in&philosophia&tum&id&quod,1,6166,Food - Baking Goods
Multi-Port USB Hub,USB hub for expanding ports on computers and laptops.,19.99,https://cbc.ca/esse/esse.odp?esse&nec&ad&melius&vivendum,0,9694,Electronics
Spice Rack,Rotating spice rack with 20 spice jars.,39.99,https://ovh.net/honesta/quae/sint/cupiditatum.sql,0,4766,Kitchen
Bike Helmet,Lightweight bike helmet with adjustable fit.,34.99,https://intel.com/suas/habent/illas/non/magnopere/ferre.wmv?videtur&inermis&ac&nudus&est,0,2290,Bicycles
Trackpad for Laptop,Wireless trackpad for enhanced laptop navigation.,49.99,https://themeforest.net/est/tamquam/quam.xz?cur&nostri&a&nostris&non,1,7682,Accessories
Veggie Chips Variety Pack,A colorful variety of crunchy veggie chips for snacking.,3.79,https://nasa.gov/incidant/in/maiorem/ex/redeamus.mds?nihil&homine&videatur&indignius,1,5265,Food - Snacks
Indian Curry Sauce,Authentic Indian curry sauce for quick meals.,3.69,https://examiner.com/ex/eo/perciperet/corpore/adquiescere.bash?persius,1,9737,Food - Condiments
High-Low Hem Tee,"Trendy high-low tee with a relaxed fit, ideal for weekends.",22.99,https://noaa.gov/extremum/bonorum/omnium/beateque/tradidisse.scf,0,5425,Clothing - Tops
Lentil Vegetable Curry,A flavorful lentil curry cooked with vegetables and spices.,4.49,https://npr.org/in/philosophari.url?m&brutus,0,7006,Food - Prepared Meals
Ground Cinnamon,Freshly ground cinnamon spice for baking or seasoning.,1.99,https://behance.net/te/quoquo/modo/loqueretur/omnem.odp?probabo&inquit&modo&ista&sis,1,1607,Food - Spices
Pepper Jack Cheese Sticks,"A spicy, flavorful cheese stick great for snacks or lunchboxes.",2.49,https://indiatimes.com/modo/nullam/illum.xml,1,4188,Food - Snacks
Honey Roasted Almonds,Sweet and crunchy roasted almonds.,4.99,https://sun.com/platone/disputata/sunt/aut.jpeg?solida&corpora&ferri&deorsum,0,8962,Food - Snacks
Almond Crunch Granola Bars,Nutty granola bars for healthy snacking.,3.49,http://tuttocitta.it/ob/causas/sed.xml?cum&e&quibus&haec&efficiantur,1,1191,Food - Snacks
Infrared Thermometer Gun,Non-contact thermometer for quick and easy temperature readings.,29.99,https://nasa.gov/concedo/quod/vivendum.sig?se&isdem,1,4161,Health
Air Purifier,HEPA air purifier for clean indoor air.,129.99,https://ezinearticles.com/forensibus/operis/laboribus/periculis/non/neque.keystore?maioribus,0,4472,Home
Portable Bluetooth Headphones,Wireless headphones with noise-canceling features.,79.99,https://techcrunch.com/autem/ait.htm?aut&perferendis,0,4733,Audio
Classic Black Dress,A versatile black dress that can be styled for any occasion.,79.99,https://weebly.com/nec/medium/nec/plus.yaml?si&ob&aliquam,1,802,Clothing - Dresses
Coconut Curry Lentil Soup,"A hearty soup made with lentils, coconut milk, and a blend of spices for a tropical flavor.",3.99,https://posterous.com/quidem/legendos/quidem.asp?possum&ut&ea&quae,1,7598,Food - Canned Goods
Garlic Parmesan Roasted Nuts,"Savory, roasted nuts seasoned with garlic and parmesan.",4.89,https://hud.gov/ratio/tum.db?ortum,0,6153,Food - Nuts
Adjustable Pet Feeder,Convenient feeder that adjusts to your pet's height.,39.99,https://altervista.org/voluptates/omittantur/neque.gif?loca&si&fana&si,0,9052,Pets
Bamboo Cutting Board Set,Eco-friendly bamboo cutting boards in various sizes.,34.99,https://artisteer.com/ut/ratione/et/via/futura.aac?disputationi&vel&maxime&necessarius,1,5273,Kitchen
Zucchini Noodle Pasta,"Low-carb zucchini noodles, perfect for a healthy alternative to pasta.",3.99,https://last.fm/cum/ea/quae/dixi/quas.psc1,1,2817,Food - Vegetables
Backpacking Tent,Lightweight and durable tent for camping trips.,109.99,https://abc.net.au/nec/discordans.wmv?vel&ultimum&vel&extremum,1,635,Outdoor
Hot Dog Buns,Soft buns perfect for stuffing with your favorite hot dogs.,2.49,https://telegraph.co.uk/haec/dici.mov?firmissimum,0,996,Food - Bakery
Ice Cream Maker,Homemade ice cream maker for delicious desserts.,79.99,https://spiegel.de/pertinaces/indignae/philosophia/mihi/videri/animos.psd1?et&tibi&probatus,0,3873,Kitchen
Coconut Almond Granola,"Crunchy granola made with oats, almonds, and coconut flakes.",4.99,https://va.gov/et/eo/fingitur.htm?iis&corrigere,1,6624,Food - Breakfast
Sliced Provolone Cheese,Mild cheese great for sandwiches.,3.99,https://vk.com/nulla/viveremus.mshxml,0,8059,Food - Dairy
Green Tea Matcha Powder,High-quality matcha powder for smoothies and baking.,15.99,https://over-blog.com/gessisse/sine/causa/quae/fuerit/voluptatem.ods,0,7097,Food - Beverages
Pepper Jack Cheese Slices,"Creamy cheese with a spicy kick, perfect for sandwiches.",3.49,https://gmpg.org/sit/sentiri/certe.jsp?epicurei&sunt&aliae&quoque&causae,0,5342,Food - Dairy
Two-Tone Windbreaker,"Stylish two-tone windbreaker, perfect for active days.",59.99,https://prweb.com/inquam/nisi/te/audire/ratio.json?copulationesque&et&consuetudinum&instituendarum&voluntates,1,9900,Clothing - Outerwear
Coconut Rice,Fluffy rice cooked with coconut milk for a tropical twist.,2.29,https://rambler.ru/esse/bonum/ut.ogg?eademque&ratione&ne&temperantiam,0,4890,Food - Frozen
Vegetable Spiralizer,Create spiraled vegetable noodles easily for healthy meals.,19.99,https://addtoany.com/et/aut/officiis/debitis/aut/se.cer?cernantur&omnia&eumque&motum,0,2845,Kitchen
Organic Cucumber,Fresh organic cucumber perfect for salads or snacking.,1.29,https://aboutads.info/quoniam/forensibus/.pfx?sit&aut,0,6086,Food - Vegetables
Lemon Dill Chicken Skewers,"Marinated chicken skewers with lemon and dill flavor, grilled to perfection.",9.99,https://altervista.org/in/ipsa/inanium.cer?enim&declinare&atomum,0,1125,Food - Meat
Dark Chocolate Tart,Decadent tart made with rich dark chocolate.,6.29,https://java.com/interea/hoc/tenebo/cn.svg?tum&etiam&erga&nos&amice,1,6338,Food - Desserts
Digital Stopwatch Timer,Accurate stopwatch for timing events and workouts.,12.99,https://fc2.com/sententiam/corpus.pgp?virtutes&de,0,8230,Fitness
Thyme,"Fresh thyme, perfect for seasoning dishes.",2.49,https://gnu.org/esse/non/possunt/victi/et/illum.gz?improbe&parta&minuit,1,9780,Food - Fresh Produce
Lemon Herb Chicken,Marinated chicken grilled with lemon and herbs.,7.49,https://cbsnews.com/degendae/nihil.desktop?se,0,1580,Food - Meat
Hydration Backpack,Lightweight backpack with an insulated water reservoir for hydration on the go.,39.99,https://craigslist.org/quibusdam/stabilitas/amicitiae/vacillare/tuentur/in.rar?ipsa&liberatione,0,3685,Outdoor
Vanilla Bean Greek Yogurt,Smooth Greek yogurt infused with vanilla bean flavor.,1.99,https://woothemes.com/quae/sua/natura/aut/sollicitare/voluptate.cmd?compluribus&permulta&dicantur&cur&nec,1,6572,Food - Dairy
Portable Phone Charger,High-capacity power bank for charging devices on the go.,29.99,https://icq.com/poetae/suam.csr?nam&libero&tempore,0,2213,Accessories
LED Desk Lamp with USB Charging,Stylish desk lamp featuring a USB charging port.,39.99,https://discovery.com//quidem.lnk?cum&solitudo&et&vita,0,5399,Office
Digital Camera,Compact digital camera with 20MP resolution.,299.99,https://earthlink.net/non/conturbamur/est.cer?quidem&facio&provocatus&gratissimo&mihi,0,1435,Electronics
Decorative Throw Pillows,Set of stylish throw pillows for home decor.,29.99,https://freewebs.com/orestem/dictum.txt?iracundiae&contentiones&concertationesque&in,1,7030,Home
Lentil Soup,"Flavorful lentil soup, perfect for a quick meal.",2.49,https://mtv.com/in/est.dmg?satis&notae&sunt&atque&eos,1,7586,Food - Canned Goods
Cheese Stuffed Jalapenos,"Spicy jalapenos stuffed with cheese, ideal for appetizers.",5.99,https://weather.com/ratio/reperietur/hinc.cfg,0,8735,Food - Snacks
Waterproof Rain Boots,Stay dry with these stylish waterproof rain boots.,69.99,http://opera.com/eos/cum/suavitate/pro.xlsx?nollem,1,7849,Clothing - Footwear
Hand Crank Blender,Manual blender for smoothies and mixing ingredients on the go.,18.99,http://netvibes.com/iudicabit/nulla/ad/ullus.csr?mundi&qui,1,3496,Kitchen
Whole Wheat Bread,"Freshly baked whole wheat bread, rich in fiber.",2.49,https://kickstarter.com/quam/ex/hoc/facillime/dedecora.html?et&ignavi&numquam,0,502,Food - Bakery
